date,species,mean_value,max_value,latitude,longitude
2026-04-30,grass_pollen,0.23,0.4,55.9533,-3.1883
2026-04-30,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-04-30,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-04-30,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-05-01,alder_pollen,0.41,1.0,55.9533,-3.1883
2026-05-01,birch_pollen,16.86,28.7,55.9533,-3.1883
2026-05-01,grass_pollen,0.58,0.9,55.9533,-3.1883
2026-05-01,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-01,olive_pollen,0.01,0.1,55.9533,-3.1883
2026-05-01,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-05-02,alder_pollen,0.0,0.0,55.9533,-3.1883
2026-05-02,birch_pollen,1.53,5.3,55.9533,-3.1883
2026-05-02,grass_pollen,0.07,0.2,55.9533,-3.1883
2026-05-02,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-02,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-05-02,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-05-03,alder_pollen,0.0,0.0,55.9533,-3.1883
2026-05-03,birch_pollen,0.11,0.8,55.9533,-3.1883
2026-05-03,grass_pollen,0.0,0.0,55.9533,-3.1883
2026-05-03,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-03,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-05-03,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-05-04,alder_pollen,0.11,0.5,55.9533,-3.1883
2026-05-04,birch_pollen,5.11,16.0,55.9533,-3.1883
2026-05-04,grass_pollen,0.13,0.4,55.9533,-3.1883
2026-05-04,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-04,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-05-04,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-05-05,alder_pollen,0.0,0.0,55.9533,-3.1883
2026-05-05,birch_pollen,0.36,1.9,55.9533,-3.1883
2026-05-05,grass_pollen,0.07,0.2,55.9533,-3.1883
2026-05-05,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-05,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-05-05,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-05-06,alder_pollen,0.0,0.0,55.9533,-3.1883
2026-05-06,birch_pollen,0.95,3.1,55.9533,-3.1883
2026-05-06,grass_pollen,0.39,1.2,55.9533,-3.1883
2026-05-06,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-06,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-05-06,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-05-07,alder_pollen,0.0,0.1,55.9533,-3.1883
2026-05-07,birch_pollen,3.2,4.8,55.9533,-3.1883
2026-05-07,grass_pollen,1.06,1.7,55.9533,-3.1883
2026-05-07,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-07,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-05-07,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-05-08,alder_pollen,0.03,0.3,55.9533,-3.1883
2026-05-08,birch_pollen,3.69,20.5,55.9533,-3.1883
2026-05-08,grass_pollen,0.4,0.7,55.9533,-3.1883
2026-05-08,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-08,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-05-08,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-05-09,alder_pollen,0.26,2.5,55.9533,-3.1883
2026-05-09,birch_pollen,2.44,19.8,55.9533,-3.1883
2026-05-09,grass_pollen,0.19,0.4,55.9533,-3.1883
2026-05-09,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-09,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-05-09,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-05-10,alder_pollen,0.02,0.1,55.9533,-3.1883
2026-05-10,birch_pollen,1.89,7.3,55.9533,-3.1883
2026-05-10,grass_pollen,0.33,0.6,55.9533,-3.1883
2026-05-10,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-10,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-05-10,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-05-11,alder_pollen,0.1,0.7,55.9533,-3.1883
2026-05-11,birch_pollen,2.96,13.3,55.9533,-3.1883
2026-05-11,grass_pollen,0.35,0.9,55.9533,-3.1883
2026-05-11,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-11,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-05-11,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-05-12,alder_pollen,0.0,0.0,55.9533,-3.1883
2026-05-12,birch_pollen,1.82,6.5,55.9533,-3.1883
2026-05-12,grass_pollen,0.45,1.2,55.9533,-3.1883
2026-05-12,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-12,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-05-12,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-05-13,alder_pollen,0.0,0.0,55.9533,-3.1883
2026-05-13,birch_pollen,0.17,0.8,55.9533,-3.1883
2026-05-13,grass_pollen,0.09,0.3,55.9533,-3.1883
2026-05-13,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-13,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-05-13,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-05-14,alder_pollen,0.05,0.3,55.9533,-3.1883
2026-05-14,birch_pollen,1.75,4.8,55.9533,-3.1883
2026-05-14,grass_pollen,0.23,0.7,55.9533,-3.1883
2026-05-14,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-14,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-05-14,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-05-15,alder_pollen,0.06,0.2,55.9533,-3.1883
2026-05-15,birch_pollen,3.35,6.5,55.9533,-3.1883
2026-05-15,grass_pollen,0.58,1.1,55.9533,-3.1883
2026-05-15,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-15,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-05-15,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-05-16,alder_pollen,0.01,0.1,55.9533,-3.1883
2026-05-16,birch_pollen,1.85,6.4,55.9533,-3.1883
2026-05-16,grass_pollen,0.84,1.4,55.9533,-3.1883
2026-05-16,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-16,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-05-16,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-05-17,alder_pollen,0.0,0.0,55.9533,-3.1883
2026-05-17,birch_pollen,0.13,0.7,55.9533,-3.1883
